Solved n=30, m=75, budget=1, density=2.50, rep=0, flow_demand=1, objective=31.00, mip_solve_time=0.2691
Solved n=75, m=188, budget=2, density=2.51, rep=47, flow_demand=1, objective=19.00, mip_solve_time=0.0789
Solved n=75, m=188, budget=3, density=2.51, rep=47, flow_demand=1, objective=12.00, mip_solve_time=0.0347
Solved n=75, m=188, budget=4, density=2.51, rep=47, flow_demand=1, objective=6.00, mip_solve_time=0.0334
Solved n=75, m=188, budget=5, density=2.51, rep=47, flow_demand=1, objective=1.00, mip_solve_time=0.0332
Solved n=75, m=188, budget=1, density=2.51, rep=48, flow_demand=1, objective=54.00, mip_solve_time=0.0368
Solved n=75, m=188, budget=2, density=2.51, rep=48, flow_demand=1, objective=38.00, mip_solve_time=0.0332
Solved n=75, m=188, budget=3, density=2.51, rep=48, flow_demand=1, objective=23.00, mip_solve_time=0.0345
Solved n=75, m=188, budget=4, density=2.51, rep=48, flow_demand=1, objective=9.00, mip_solve_time=0.0322
Solved n=75, m=188, budget=5, density=2.51, rep=48, flow_demand=1, objective=4.00, mip_solve_time=0.0333
Solved n=75, m=188, budget=1, density=2.51, rep=49, flow_demand=1, objective=27.00, mip_solve_time=0.0949
Solved n=75, m=188, budget=2, density=2.51, rep=49, flow_demand=1, objective=17.00, mip_solve_time=0.0376
Solved n=75, m=188, budget=3, density=2.51, rep=49, flow_demand=1, objective=11.00, mip_solve_time=0.0356
Solved n=75, m=188, budget=4, density=2.51, rep=49, flow_demand=1, objective=6.00, mip_solve_time=0.0352
Solved n=75, m=188, budget=5, density=2.51, rep=49, flow_demand=1, objective=1.00, mip_solve_time=0.0363
Solved n=75, m=300, budget=1, density=4.00, rep=0, flow_demand=1, objective=60.00, mip_solve_time=0.0972
Solved n=75, m=300, budget=2, density=4.00, rep=0, flow_demand=1, objective=43.00, mip_solve_time=0.0539
Solved n=75, m=300, budget=3, density=4.00, rep=0, flow_demand=1, objective=27.00, mip_solve_time=0.0580
Solved n=75, m=300, budget=4, density=4.00, rep=0, flow_demand=1, objective=15.00, mip_solve_time=0.0606
Solved n=75, m=300, budget=5, density=4.00, rep=0, flow_demand=1, objective=6.00, mip_solve_time=0.0546
Solved n=75, m=300, budget=1, density=4.00, rep=1, flow_demand=1, objective=36.00, mip_solve_time=0.0574
Solved n=75, m=300, budget=2, density=4.00, rep=1, flow_demand=1, objective=21.00, mip_solve_time=0.0563
Solved n=75, m=300, budget=3, density=4.00, rep=1, flow_demand=1, objective=12.00, mip_solve_time=0.0590
Solved n=75, m=300, budget=4, density=4.00, rep=1, flow_demand=1, objective=4.00, mip_solve_time=0.0570
Solved n=75, m=300, budget=5, density=4.00, rep=1, flow_demand=1, objective=2.00, mip_solve_time=0.0567
Solved n=75, m=300, budget=1, density=4.00, rep=2, flow_demand=1, objective=73.00, mip_solve_time=0.0596
Solved n=75, m=300, budget=2, density=4.00, rep=2, flow_demand=1, objective=55.00, mip_solve_time=0.0526
Solved n=75, m=300, budget=3, density=4.00, rep=2, flow_demand=1, objective=37.00, mip_solve_time=0.0938
Solved n=75, m=300, budget=4, density=4.00, rep=2, flow_demand=1, objective=23.00, mip_solve_time=0.0550
Solved n=75, m=300, budget=5, density=4.00, rep=2, flow_demand=1, objective=13.00, mip_solve_time=0.0538
Solved n=75, m=300, budget=1, density=4.00, rep=3, flow_demand=1, objective=40.00, mip_solve_time=0.0568
Solved n=75, m=300, budget=2, density=4.00, rep=3, flow_demand=1, objective=28.00, mip_solve_time=0.0543
Solved n=75, m=300, budget=3, density=4.00, rep=3, flow_demand=1, objective=16.00, mip_solve_time=0.0559
Solved n=75, m=300, budget=4, density=4.00, rep=3, flow_demand=1, objective=6.00, mip_solve_time=0.0526
Solved n=75, m=300, budget=5, density=4.00, rep=3, flow_demand=1, objective=3.00, mip_solve_time=0.0557
Solved n=75, m=300, budget=1, density=4.00, rep=4, flow_demand=1, objective=27.00, mip_solve_time=0.0602
Solved n=75, m=300, budget=2, density=4.00, rep=4, flow_demand=1, objective=14.00, mip_solve_time=0.0527
Solved n=75, m=300, budget=3, density=4.00, rep=4, flow_demand=1, objective=9.00, mip_solve_time=0.0513
Solved n=75, m=300, budget=4, density=4.00, rep=4, flow_demand=1, objective=4.00, mip_solve_time=0.0502
Solved n=75, m=300, budget=5, density=4.00, rep=4, flow_demand=1, objective=2.00, mip_solve_time=0.0498
Solved n=75, m=300, budget=1, density=4.00, rep=5, flow_demand=1, objective=57.00, mip_solve_time=0.0584
Solved n=75, m=300, budget=2, density=4.00, rep=5, flow_demand=1, objective=43.00, mip_solve_time=0.0933
Solved n=75, m=300, budget=3, density=4.00, rep=5, flow_demand=1, objective=30.00, mip_solve_time=0.0533
Solved n=75, m=300, budget=4, density=4.00, rep=5, flow_demand=1, objective=20.00, mip_solve_time=0.0528
Solved n=75, m=300, budget=5, density=4.00, rep=5, flow_demand=1, objective=10.00, mip_solve_time=0.0508
Solved n=75, m=300, budget=1, density=4.00, rep=6, flow_demand=1, objective=65.00, mip_solve_time=0.0953
Solved n=75, m=300, budget=2, density=4.00, rep=6, flow_demand=1, objective=51.00, mip_solve_time=0.0544
Solved n=75, m=300, budget=3, density=4.00, rep=6, flow_demand=1, objective=39.00, mip_solve_time=0.0549
Solved n=75, m=300, budget=4, density=4.00, rep=6, flow_demand=1, objective=27.00, mip_solve_time=0.0586
Solved n=75, m=300, budget=5, density=4.00, rep=6, flow_demand=1, objective=16.00, mip_solve_time=0.0576
Solved n=75, m=300, budget=1, density=4.00, rep=7, flow_demand=1, objective=57.00, mip_solve_time=0.0564
Solved n=75, m=300, budget=2, density=4.00, rep=7, flow_demand=1, objective=40.00, mip_solve_time=0.0505
Solved n=75, m=300, budget=3, density=4.00, rep=7, flow_demand=1, objective=26.00, mip_solve_time=0.0536
Solved n=75, m=300, budget=4, density=4.00, rep=7, flow_demand=1, objective=13.00, mip_solve_time=0.0539
Solved n=75, m=300, budget=5, density=4.00, rep=7, flow_demand=1, objective=6.00, mip_solve_time=0.0505
Solved n=75, m=300, budget=1, density=4.00, rep=8, flow_demand=1, objective=29.00, mip_solve_time=0.0592
Solved n=75, m=300, budget=2, density=4.00, rep=8, flow_demand=1, objective=18.00, mip_solve_time=0.0559
Solved n=75, m=300, budget=3, density=4.00, rep=8, flow_demand=1, objective=9.00, mip_solve_time=0.0545
Solved n=75, m=300, budget=4, density=4.00, rep=8, flow_demand=1, objective=5.00, mip_solve_time=0.0548
Solved n=75, m=300, budget=5, density=4.00, rep=8, flow_demand=1, objective=2.00, mip_solve_time=0.0542
Solved n=75, m=300, budget=1, density=4.00, rep=9, flow_demand=1, objective=41.00, mip_solve_time=0.0563
Solved n=75, m=300, budget=2, density=4.00, rep=9, flow_demand=1, objective=31.00, mip_solve_time=0.0518
Solved n=75, m=300, budget=3, density=4.00, rep=9, flow_demand=1, objective=22.00, mip_solve_time=0.0946
Solved n=75, m=300, budget=4, density=4.00, rep=9, flow_demand=1, objective=13.00, mip_solve_time=0.0537
Solved n=75, m=300, budget=5, density=4.00, rep=9, flow_demand=1, objective=4.00, mip_solve_time=0.0503
Solved n=75, m=300, budget=1, density=4.00, rep=10, flow_demand=1, objective=45.00, mip_solve_time=0.0990
Solved n=75, m=300, budget=2, density=4.00, rep=10, flow_demand=1, objective=30.00, mip_solve_time=0.0566
Solved n=75, m=300, budget=3, density=4.00, rep=10, flow_demand=1, objective=21.00, mip_solve_time=0.0723
Solved n=75, m=300, budget=4, density=4.00, rep=10, flow_demand=1, objective=10.00, mip_solve_time=0.0578
Solved n=75, m=300, budget=5, density=4.00, rep=10, flow_demand=1, objective=5.00, mip_solve_time=0.0567
Solved n=75, m=300, budget=1, density=4.00, rep=11, flow_demand=1, objective=53.00, mip_solve_time=0.0981
Solved n=75, m=300, budget=2, density=4.00, rep=11, flow_demand=1, objective=41.00, mip_solve_time=0.0558
Solved n=75, m=300, budget=3, density=4.00, rep=11, flow_demand=1, objective=30.00, mip_solve_time=0.0565
Solved n=75, m=300, budget=4, density=4.00, rep=11, flow_demand=1, objective=20.00, mip_solve_time=0.1025
Solved n=75, m=300, budget=5, density=4.00, rep=11, flow_demand=1, objective=10.00, mip_solve_time=0.1049
Solved n=75, m=300, budget=1, density=4.00, rep=12, flow_demand=1, objective=46.00, mip_solve_time=0.0579
Solved n=75, m=300, budget=2, density=4.00, rep=12, flow_demand=1, objective=29.00, mip_solve_time=0.0981
Solved n=75, m=300, budget=3, density=4.00, rep=12, flow_demand=1, objective=13.00, mip_solve_time=0.0532
Solved n=75, m=300, budget=4, density=4.00, rep=12, flow_demand=1, objective=8.00, mip_solve_time=0.0503
Solved n=75, m=300, budget=5, density=4.00, rep=12, flow_demand=1, objective=4.00, mip_solve_time=0.0496
Solved n=75, m=300, budget=1, density=4.00, rep=13, flow_demand=1, objective=55.00, mip_solve_time=0.1127
Solved n=75, m=300, budget=2, density=4.00, rep=13, flow_demand=1, objective=41.00, mip_solve_time=0.0886
Solved n=75, m=300, budget=3, density=4.00, rep=13, flow_demand=1, objective=24.00, mip_solve_time=0.0570
Solved n=75, m=300, budget=4, density=4.00, rep=13, flow_demand=1, objective=9.00, mip_solve_time=0.0521
Solved n=75, m=300, budget=5, density=4.00, rep=13, flow_demand=1, objective=2.00, mip_solve_time=0.0506
Solved n=75, m=300, budget=1, density=4.00, rep=14, flow_demand=1, objective=21.00, mip_solve_time=0.1028
Solved n=75, m=300, budget=2, density=4.00, rep=14, flow_demand=1, objective=13.00, mip_solve_time=0.0559
Solved n=75, m=300, budget=3, density=4.00, rep=14, flow_demand=1, objective=9.00, mip_solve_time=0.0565
Solved n=75, m=300, budget=4, density=4.00, rep=14, flow_demand=1, objective=6.00, mip_solve_time=0.1138
Solved n=75, m=300, budget=5, density=4.00, rep=14, flow_demand=1, objective=2.00, mip_solve_time=0.0552
Solved n=75, m=300, budget=1, density=4.00, rep=15, flow_demand=1, objective=44.00, mip_solve_time=0.0585
Solved n=75, m=300, budget=2, density=4.00, rep=15, flow_demand=1, objective=31.00, mip_solve_time=0.0528
Solved n=75, m=300, budget=3, density=4.00, rep=15, flow_demand=1, objective=18.00, mip_solve_time=0.0858
Solved n=75, m=300, budget=4, density=4.00, rep=15, flow_demand=1, objective=5.00, mip_solve_time=0.0520
Solved n=75, m=300, budget=5, density=4.00, rep=15, flow_demand=1, objective=2.00, mip_solve_time=0.0527
Solved n=75, m=300, budget=1, density=4.00, rep=16, flow_demand=1, objective=48.00, mip_solve_time=0.0570
Solved n=75, m=300, budget=2, density=4.00, rep=16, flow_demand=1, objective=35.00, mip_solve_time=0.0518
Solved n=75, m=300, budget=3, density=4.00, rep=16, flow_demand=1, objective=23.00, mip_solve_time=0.0547
Solved n=75, m=300, budget=4, density=4.00, rep=16, flow_demand=1, objective=12.00, mip_solve_time=0.0522
Solved n=75, m=300, budget=5, density=4.00, rep=16, flow_demand=1, objective=8.00, mip_solve_time=0.0746
Solved n=75, m=300, budget=1, density=4.00, rep=17, flow_demand=1, objective=66.00, mip_solve_time=0.0589
Solved n=75, m=300, budget=2, density=4.00, rep=17, flow_demand=1, objective=48.00, mip_solve_time=0.0523
Solved n=75, m=300, budget=3, density=4.00, rep=17, flow_demand=1, objective=31.00, mip_solve_time=0.0554
Solved n=75, m=300, budget=4, density=4.00, rep=17, flow_demand=1, objective=17.00, mip_solve_time=0.0540
Solved n=75, m=300, budget=5, density=4.00, rep=17, flow_demand=1, objective=3.00, mip_solve_time=0.0513
Solved n=75, m=300, budget=1, density=4.00, rep=18, flow_demand=1, objective=49.00, mip_solve_time=0.0988
Solved n=75, m=300, budget=2, density=4.00, rep=18, flow_demand=1, objective=36.00, mip_solve_time=0.0562
Solved n=75, m=300, budget=3, density=4.00, rep=18, flow_demand=1, objective=23.00, mip_solve_time=0.0563
Solved n=75, m=300, budget=4, density=4.00, rep=18, flow_demand=1, objective=14.00, mip_solve_time=0.0589
Solved n=75, m=300, budget=5, density=4.00, rep=18, flow_demand=1, objective=6.00, mip_solve_time=0.0567
Solved n=75, m=300, budget=1, density=4.00, rep=19, flow_demand=1, objective=42.00, mip_solve_time=0.0584
Solved n=75, m=300, budget=2, density=4.00, rep=19, flow_demand=1, objective=31.00, mip_solve_time=0.0541
Solved n=75, m=300, budget=3, density=4.00, rep=19, flow_demand=1, objective=20.00, mip_solve_time=0.0968
Solved n=75, m=300, budget=4, density=4.00, rep=19, flow_demand=1, objective=10.00, mip_solve_time=0.0527
Solved n=75, m=300, budget=5, density=4.00, rep=19, flow_demand=1, objective=2.00, mip_solve_time=0.0517
Solved n=75, m=300, budget=1, density=4.00, rep=20, flow_demand=1, objective=48.00, mip_solve_time=0.0568
Solved n=75, m=300, budget=2, density=4.00, rep=20, flow_demand=1, objective=35.00, mip_solve_time=0.0517
Solved n=75, m=300, budget=3, density=4.00, rep=20, flow_demand=1, objective=23.00, mip_solve_time=0.0542
Solved n=75, m=300, budget=4, density=4.00, rep=20, flow_demand=1, objective=13.00, mip_solve_time=0.0907
Solved n=75, m=300, budget=5, density=4.00, rep=20, flow_demand=1, objective=3.00, mip_solve_time=0.0517
Solved n=75, m=300, budget=1, density=4.00, rep=21, flow_demand=1, objective=48.00, mip_solve_time=0.1068
Solved n=75, m=300, budget=2, density=4.00, rep=21, flow_demand=1, objective=38.00, mip_solve_time=0.0531
Solved n=75, m=300, budget=3, density=4.00, rep=21, flow_demand=1, objective=28.00, mip_solve_time=0.0551
Solved n=75, m=300, budget=4, density=4.00, rep=21, flow_demand=1, objective=19.00, mip_solve_time=0.0571
Solved n=75, m=300, budget=5, density=4.00, rep=21, flow_demand=1, objective=10.00, mip_solve_time=0.0520
Solved n=75, m=300, budget=1, density=4.00, rep=22, flow_demand=1, objective=49.00, mip_solve_time=0.0574
Solved n=75, m=300, budget=2, density=4.00, rep=22, flow_demand=1, objective=31.00, mip_solve_time=0.0531
Solved n=75, m=300, budget=3, density=4.00, rep=22, flow_demand=1, objective=17.00, mip_solve_time=0.0961
Solved n=75, m=300, budget=4, density=4.00, rep=22, flow_demand=1, objective=7.00, mip_solve_time=0.0515
Solved n=75, m=300, budget=5, density=4.00, rep=22, flow_demand=1, objective=3.00, mip_solve_time=0.0502
Solved n=75, m=300, budget=1, density=4.00, rep=23, flow_demand=1, objective=18.00, mip_solve_time=0.0595
Solved n=75, m=300, budget=2, density=4.00, rep=23, flow_demand=1, objective=12.00, mip_solve_time=0.0514
Solved n=75, m=300, budget=3, density=4.00, rep=23, flow_demand=1, objective=7.00, mip_solve_time=0.0501
Solved n=75, m=300, budget=4, density=4.00, rep=23, flow_demand=1, objective=4.00, mip_solve_time=0.0499
Solved n=75, m=300, budget=5, density=4.00, rep=23, flow_demand=1, objective=1.00, mip_solve_time=0.0494
Solved n=75, m=300, budget=1, density=4.00, rep=24, flow_demand=1, objective=35.00, mip_solve_time=0.0944
Solved n=75, m=300, budget=2, density=4.00, rep=24, flow_demand=1, objective=21.00, mip_solve_time=0.0570
Solved n=75, m=300, budget=3, density=4.00, rep=24, flow_demand=1, objective=9.00, mip_solve_time=0.0569
Solved n=75, m=300, budget=4, density=4.00, rep=24, flow_demand=1, objective=3.00, mip_solve_time=0.0565
Solved n=75, m=300, budget=5, density=4.00, rep=24, flow_demand=1, objective=1.00, mip_solve_time=0.0579
Solved n=75, m=300, budget=1, density=4.00, rep=25, flow_demand=1, objective=42.00, mip_solve_time=0.0989
Solved n=75, m=300, budget=2, density=4.00, rep=25, flow_demand=1, objective=29.00, mip_solve_time=0.0584
Solved n=75, m=300, budget=3, density=4.00, rep=25, flow_demand=1, objective=16.00, mip_solve_time=0.0618
Solved n=75, m=300, budget=4, density=4.00, rep=25, flow_demand=1, objective=6.00, mip_solve_time=0.0582
Solved n=75, m=300, budget=5, density=4.00, rep=25, flow_demand=1, objective=1.00, mip_solve_time=0.0583
Solved n=75, m=300, budget=1, density=4.00, rep=26, flow_demand=1, objective=37.00, mip_solve_time=0.0575
Solved n=75, m=300, budget=2, density=4.00, rep=26, flow_demand=1, objective=26.00, mip_solve_time=0.0544
Solved n=75, m=300, budget=3, density=4.00, rep=26, flow_demand=1, objective=15.00, mip_solve_time=0.0562
Solved n=75, m=300, budget=4, density=4.00, rep=26, flow_demand=1, objective=9.00, mip_solve_time=0.0529
Solved n=75, m=300, budget=5, density=4.00, rep=26, flow_demand=1, objective=5.00, mip_solve_time=0.1048
Solved n=75, m=300, budget=1, density=4.00, rep=27, flow_demand=1, objective=57.00, mip_solve_time=0.0650
Solved n=75, m=300, budget=2, density=4.00, rep=27, flow_demand=1, objective=38.00, mip_solve_time=0.0502
Solved n=75, m=300, budget=3, density=4.00, rep=27, flow_demand=1, objective=19.00, mip_solve_time=0.0535
Solved n=75, m=300, budget=4, density=4.00, rep=27, flow_demand=1, objective=6.00, mip_solve_time=0.0504
Solved n=75, m=300, budget=5, density=4.00, rep=27, flow_demand=1, objective=1.00, mip_solve_time=0.0508
Solved n=75, m=300, budget=1, density=4.00, rep=28, flow_demand=1, objective=44.00, mip_solve_time=0.0583
Solved n=75, m=300, budget=2, density=4.00, rep=28, flow_demand=1, objective=32.00, mip_solve_time=0.0529
Solved n=75, m=300, budget=3, density=4.00, rep=28, flow_demand=1, objective=20.00, mip_solve_time=0.0537
Solved n=75, m=300, budget=4, density=4.00, rep=28, flow_demand=1, objective=11.00, mip_solve_time=0.0544
Solved n=75, m=300, budget=5, density=4.00, rep=28, flow_demand=1, objective=3.00, mip_solve_time=0.0514
Solved n=75, m=300, budget=1, density=4.00, rep=29, flow_demand=1, objective=56.00, mip_solve_time=0.0978
Solved n=75, m=300, budget=2, density=4.00, rep=29, flow_demand=1, objective=41.00, mip_solve_time=0.0549
Solved n=75, m=300, budget=3, density=4.00, rep=29, flow_demand=1, objective=28.00, mip_solve_time=0.0582
Solved n=75, m=300, budget=4, density=4.00, rep=29, flow_demand=1, objective=18.00, mip_solve_time=0.0578
Solved n=75, m=300, budget=5, density=4.00, rep=29, flow_demand=1, objective=9.00, mip_solve_time=0.0588
Solved n=75, m=300, budget=1, density=4.00, rep=30, flow_demand=1, objective=25.00, mip_solve_time=0.0618
Solved n=75, m=300, budget=2, density=4.00, rep=30, flow_demand=1, objective=16.00, mip_solve_time=0.0548
Solved n=75, m=300, budget=3, density=4.00, rep=30, flow_demand=1, objective=8.00, mip_solve_time=0.0517
Solved n=75, m=300, budget=4, density=4.00, rep=30, flow_demand=1, objective=3.00, mip_solve_time=0.0507
Solved n=75, m=300, budget=5, density=4.00, rep=30, flow_demand=1, objective=1.00, mip_solve_time=0.0504
Solved n=75, m=300, budget=1, density=4.00, rep=31, flow_demand=1, objective=32.00, mip_solve_time=0.0596
Solved n=75, m=300, budget=2, density=4.00, rep=31, flow_demand=1, objective=22.00, mip_solve_time=0.0638
Solved n=75, m=300, budget=3, density=4.00, rep=31, flow_demand=1, objective=12.00, mip_solve_time=0.0566
Solved n=75, m=300, budget=4, density=4.00, rep=31, flow_demand=1, objective=5.00, mip_solve_time=0.0547
Solved n=75, m=300, budget=5, density=4.00, rep=31, flow_demand=1, objective=1.00, mip_solve_time=0.0547
Solved n=75, m=300, budget=1, density=4.00, rep=32, flow_demand=1, objective=39.00, mip_solve_time=0.0579
Solved n=75, m=300, budget=2, density=4.00, rep=32, flow_demand=1, objective=24.00, mip_solve_time=0.0538
Solved n=75, m=300, budget=3, density=4.00, rep=32, flow_demand=1, objective=13.00, mip_solve_time=0.0554
Solved n=75, m=300, budget=4, density=4.00, rep=32, flow_demand=1, objective=5.00, mip_solve_time=0.0534
Solved n=75, m=300, budget=5, density=4.00, rep=32, flow_demand=1, objective=1.00, mip_solve_time=0.0533
Solved n=75, m=300, budget=1, density=4.00, rep=33, flow_demand=1, objective=27.00, mip_solve_time=0.0606
Solved n=75, m=300, budget=2, density=4.00, rep=33, flow_demand=1, objective=17.00, mip_solve_time=0.0532
Solved n=75, m=300, budget=3, density=4.00, rep=33, flow_demand=1, objective=7.00, mip_solve_time=0.0505
Solved n=75, m=300, budget=4, density=4.00, rep=33, flow_demand=1, objective=4.00, mip_solve_time=0.0499
Solved n=75, m=300, budget=5, density=4.00, rep=33, flow_demand=1, objective=2.00, mip_solve_time=0.0497
Solved n=75, m=300, budget=1, density=4.00, rep=34, flow_demand=1, objective=46.00, mip_solve_time=0.0995
Solved n=75, m=300, budget=2, density=4.00, rep=34, flow_demand=1, objective=32.00, mip_solve_time=0.0531
Solved n=75, m=300, budget=3, density=4.00, rep=34, flow_demand=1, objective=19.00, mip_solve_time=0.0546
Solved n=75, m=300, budget=4, density=4.00, rep=34, flow_demand=1, objective=12.00, mip_solve_time=0.0528
Solved n=75, m=300, budget=5, density=4.00, rep=34, flow_demand=1, objective=6.00, mip_solve_time=0.0511
Solved n=75, m=300, budget=1, density=4.00, rep=35, flow_demand=1, objective=44.00, mip_solve_time=0.0555
Solved n=75, m=300, budget=2, density=4.00, rep=35, flow_demand=1, objective=26.00, mip_solve_time=0.0527
Solved n=75, m=300, budget=3, density=4.00, rep=35, flow_demand=1, objective=14.00, mip_solve_time=0.0520
Solved n=75, m=300, budget=4, density=4.00, rep=35, flow_demand=1, objective=6.00, mip_solve_time=0.0496
Solved n=75, m=300, budget=5, density=4.00, rep=35, flow_demand=1, objective=2.00, mip_solve_time=0.0517
Solved n=75, m=300, budget=1, density=4.00, rep=36, flow_demand=1, objective=37.00, mip_solve_time=0.0553
Solved n=75, m=300, budget=2, density=4.00, rep=36, flow_demand=1, objective=23.00, mip_solve_time=0.0548
Solved n=75, m=300, budget=3, density=4.00, rep=36, flow_demand=1, objective=16.00, mip_solve_time=0.0549
Solved n=75, m=300, budget=4, density=4.00, rep=36, flow_demand=1, objective=10.00, mip_solve_time=0.0565
Solved n=75, m=300, budget=5, density=4.00, rep=36, flow_demand=1, objective=4.00, mip_solve_time=0.0552
Solved n=75, m=300, budget=1, density=4.00, rep=37, flow_demand=1, objective=61.00, mip_solve_time=0.0996
Solved n=75, m=300, budget=2, density=4.00, rep=37, flow_demand=1, objective=45.00, mip_solve_time=0.0526
Solved n=75, m=300, budget=3, density=4.00, rep=37, flow_demand=1, objective=29.00, mip_solve_time=0.0554
Solved n=75, m=300, budget=4, density=4.00, rep=37, flow_demand=1, objective=16.00, mip_solve_time=0.0546
Solved n=75, m=300, budget=5, density=4.00, rep=37, flow_demand=1, objective=7.00, mip_solve_time=0.0502
Solved n=75, m=300, budget=1, density=4.00, rep=38, flow_demand=1, objective=24.00, mip_solve_time=0.1030
Solved n=75, m=300, budget=2, density=4.00, rep=38, flow_demand=1, objective=17.00, mip_solve_time=0.0608
Solved n=75, m=300, budget=3, density=4.00, rep=38, flow_demand=1, objective=11.00, mip_solve_time=0.1030
Solved n=75, m=300, budget=4, density=4.00, rep=38, flow_demand=1, objective=6.00, mip_solve_time=0.0573
Solved n=75, m=300, budget=5, density=4.00, rep=38, flow_demand=1, objective=3.00, mip_solve_time=0.0568
Solved n=75, m=300, budget=1, density=4.00, rep=39, flow_demand=1, objective=54.00, mip_solve_time=0.0579
Solved n=75, m=300, budget=2, density=4.00, rep=39, flow_demand=1, objective=40.00, mip_solve_time=0.0529
Solved n=75, m=300, budget=3, density=4.00, rep=39, flow_demand=1, objective=27.00, mip_solve_time=0.0562
Solved n=75, m=300, budget=4, density=4.00, rep=39, flow_demand=1, objective=14.00, mip_solve_time=0.0554
Solved n=75, m=300, budget=5, density=4.00, rep=39, flow_demand=1, objective=4.00, mip_solve_time=0.0523
Solved n=75, m=300, budget=1, density=4.00, rep=40, flow_demand=1, objective=57.00, mip_solve_time=0.0565
Solved n=75, m=300, budget=2, density=4.00, rep=40, flow_demand=1, objective=40.00, mip_solve_time=0.0503
Solved n=75, m=300, budget=3, density=4.00, rep=40, flow_demand=1, objective=24.00, mip_solve_time=0.0534
Solved n=75, m=300, budget=4, density=4.00, rep=40, flow_demand=1, objective=11.00, mip_solve_time=0.0516
Solved n=75, m=300, budget=5, density=4.00, rep=40, flow_demand=1, objective=4.00, mip_solve_time=0.0490
Solved n=75, m=300, budget=1, density=4.00, rep=41, flow_demand=1, objective=33.00, mip_solve_time=0.0597
Solved n=75, m=300, budget=2, density=4.00, rep=41, flow_demand=1, objective=22.00, mip_solve_time=0.0550
Solved n=75, m=300, budget=3, density=4.00, rep=41, flow_demand=1, objective=14.00, mip_solve_time=0.0582
Solved n=75, m=300, budget=4, density=4.00, rep=41, flow_demand=1, objective=8.00, mip_solve_time=0.0536
Solved n=75, m=300, budget=5, density=4.00, rep=41, flow_demand=1, objective=3.00, mip_solve_time=0.0528
Solved n=75, m=300, budget=1, density=4.00, rep=42, flow_demand=1, objective=33.00, mip_solve_time=0.0562
Solved n=75, m=300, budget=2, density=4.00, rep=42, flow_demand=1, objective=20.00, mip_solve_time=0.0520
Solved n=75, m=300, budget=3, density=4.00, rep=42, flow_demand=1, objective=12.00, mip_solve_time=0.1099
Solved n=75, m=300, budget=4, density=4.00, rep=42, flow_demand=1, objective=2.00, mip_solve_time=0.0520
Solved n=75, m=300, budget=5, density=4.00, rep=42, flow_demand=1, objective=1.00, mip_solve_time=0.0782
Solved n=75, m=300, budget=1, density=4.00, rep=43, flow_demand=1, objective=49.00, mip_solve_time=0.0576
Solved n=75, m=300, budget=2, density=4.00, rep=43, flow_demand=1, objective=32.00, mip_solve_time=0.0526
Solved n=75, m=300, budget=3, density=4.00, rep=43, flow_demand=1, objective=18.00, mip_solve_time=0.0561
Solved n=75, m=300, budget=4, density=4.00, rep=43, flow_demand=1, objective=8.00, mip_solve_time=0.0525
Solved n=75, m=300, budget=5, density=4.00, rep=43, flow_demand=1, objective=1.00, mip_solve_time=0.0954
Solved n=75, m=300, budget=1, density=4.00, rep=44, flow_demand=1, objective=31.00, mip_solve_time=0.0589
Solved n=75, m=300, budget=2, density=4.00, rep=44, flow_demand=1, objective=20.00, mip_solve_time=0.0601
Solved n=75, m=300, budget=3, density=4.00, rep=44, flow_demand=1, objective=14.00, mip_solve_time=0.0574
Solved n=75, m=300, budget=4, density=4.00, rep=44, flow_demand=1, objective=9.00, mip_solve_time=0.0568
Solved n=75, m=300, budget=5, density=4.00, rep=44, flow_demand=1, objective=4.00, mip_solve_time=0.0558
Solved n=75, m=300, budget=1, density=4.00, rep=45, flow_demand=1, objective=29.00, mip_solve_time=0.1032
Solved n=75, m=300, budget=2, density=4.00, rep=45, flow_demand=1, objective=21.00, mip_solve_time=0.0578
Solved n=75, m=300, budget=3, density=4.00, rep=45, flow_demand=1, objective=14.00, mip_solve_time=0.0555
Solved n=75, m=300, budget=4, density=4.00, rep=45, flow_demand=1, objective=7.00, mip_solve_time=0.0534
Solved n=75, m=300, budget=5, density=4.00, rep=45, flow_demand=1, objective=2.00, mip_solve_time=0.0523
Solved n=75, m=300, budget=1, density=4.00, rep=46, flow_demand=1, objective=31.00, mip_solve_time=0.0607
Solved n=75, m=300, budget=2, density=4.00, rep=46, flow_demand=1, objective=15.00, mip_solve_time=0.0571
Solved n=75, m=300, budget=3, density=4.00, rep=46, flow_demand=1, objective=6.00, mip_solve_time=0.0547
Solved n=75, m=300, budget=4, density=4.00, rep=46, flow_demand=1, objective=3.00, mip_solve_time=0.0546
Solved n=75, m=300, budget=5, density=4.00, rep=46, flow_demand=1, objective=1.00, mip_solve_time=0.0542
Solved n=75, m=300, budget=1, density=4.00, rep=47, flow_demand=1, objective=31.00, mip_solve_time=0.0582
Solved n=75, m=300, budget=2, density=4.00, rep=47, flow_demand=1, objective=20.00, mip_solve_time=0.0755
Solved n=75, m=300, budget=3, density=4.00, rep=47, flow_demand=1, objective=9.00, mip_solve_time=0.0562
Solved n=75, m=300, budget=4, density=4.00, rep=47, flow_demand=1, objective=2.00, mip_solve_time=0.0541
